Pose Partition Network for Multi-Person Pose Estimation [Train and Val Phase]
Loading training json file: dataset/mpi/jsons/MPI_MP_TRAIN_annotations.json...
Finished loading training json file
Loading validation json file: dataset/mpi/jsons/MPI_MP_VAL_annotations.json...
Finished loading evaluation json file
Epoch: [2][490/615] 	CurLR: 0.003 	Loss 0.093946 (0.093103)	BatchTime 1.566 (1.624) 	
Epoch: [2][500/615] 	CurLR: 0.003 	Loss 0.089626 (0.093002)	BatchTime 1.572 (1.624) 	
Epoch: [2][510/615] 	CurLR: 0.003 	Loss 0.080931 (0.092788)	BatchTime 1.789 (1.624) 	
Epoch: [2][520/615] 	CurLR: 0.003 	Loss 0.091531 (0.092851)	BatchTime 1.555 (1.623) 	
Epoch: [2][530/615] 	CurLR: 0.003 	Loss 0.085554 (0.092709)	BatchTime 1.580 (1.623) 	
Epoch: [2][540/615] 	CurLR: 0.003 	Loss 0.076532 (0.092445)	BatchTime 1.618 (1.623) 	
Epoch: [2][550/615] 	CurLR: 0.003 	Loss 0.072176 (0.092072)	BatchTime 1.610 (1.623) 	
Epoch: [2][560/615] 	CurLR: 0.003 	Loss 0.079587 (0.091789)	BatchTime 1.565 (1.623) 	
Epoch: [2][570/615] 	CurLR: 0.003 	Loss 0.086602 (0.091649)	BatchTime 1.566 (1.623) 	
Epoch: [2][580/615] 	CurLR: 0.003 	Loss 0.073918 (0.091488)	BatchTime 1.851 (1.623) 	
Epoch: [2][590/615] 	CurLR: 0.003 	Loss 0.080338 (0.091324)	BatchTime 1.660 (1.622) 	
Epoch: [2][600/615] 	CurLR: 0.003 	Loss 0.077634 (0.091156)	BatchTime 1.591 (1.622) 	
Epoch: [2][610/615] 	CurLR: 0.003 	Loss 0.073346 (0.090789)	BatchTime 1.654 (1.622) 	
Epoch: [3][1/615] 	CurLR: 0.003 	Loss 0.077973 (0.077973)	BatchTime 5.752 (5.752) 	
Epoch: [3][10/615] 	CurLR: 0.003 	Loss 0.094514 (0.084149)	BatchTime 1.616 (1.996) 	
Epoch: [3][20/615] 	CurLR: 0.003 	Loss 0.071622 (0.083572)	BatchTime 1.614 (1.810) 	
Epoch: [3][30/615] 	CurLR: 0.003 	Loss 0.070568 (0.079392)	BatchTime 1.663 (1.752) 	
Epoch: [3][40/615] 	CurLR: 0.003 	Loss 0.067562 (0.076756)	BatchTime 1.609 (1.726) 	
Epoch: [3][50/615] 	CurLR: 0.003 	Loss 0.073997 (0.075806)	BatchTime 1.565 (1.704) 	
Epoch: [3][60/615] 	CurLR: 0.003 	Loss 0.077607 (0.075918)	BatchTime 1.569 (1.689) 	
Epoch: [3][70/615] 	CurLR: 0.003 	Loss 0.078452 (0.076092)	BatchTime 1.601 (1.679) 	
Epoch: [3][80/615] 	CurLR: 0.003 	Loss 0.077089 (0.076007)	BatchTime 1.686 (1.669) 	
Epoch: [3][90/615] 	CurLR: 0.003 	Loss 0.060408 (0.075104)	BatchTime 1.599 (1.660) 	
Epoch: [3][100/615] 	CurLR: 0.003 	Loss 0.075367 (0.074765)	BatchTime 1.639 (1.656) 	
Epoch: [3][110/615] 	CurLR: 0.003 	Loss 0.070330 (0.074399)	BatchTime 1.658 (1.654) 	
Epoch: [3][120/615] 	CurLR: 0.003 	Loss 0.069427 (0.074356)	BatchTime 1.574 (1.650) 	
Epoch: [3][130/615] 	CurLR: 0.003 	Loss 0.056687 (0.073467)	BatchTime 1.552 (1.647) 	
Epoch: [3][140/615] 	CurLR: 0.003 	Loss 0.074833 (0.073031)	BatchTime 1.591 (1.646) 	
Epoch: [3][150/615] 	CurLR: 0.003 	Loss 0.068638 (0.072938)	BatchTime 1.580 (1.642) 	
Epoch: [3][160/615] 	CurLR: 0.003 	Loss 0.070264 (0.072762)	BatchTime 1.557 (1.639) 	
Epoch: [3][170/615] 	CurLR: 0.003 	Loss 0.108799 (0.073479)	BatchTime 1.590 (1.636) 	
Epoch: [3][180/615] 	CurLR: 0.003 	Loss 0.068206 (0.074269)	BatchTime 1.569 (1.635) 	
Epoch: [3][190/615] 	CurLR: 0.003 	Loss 0.057960 (0.073818)	BatchTime 1.561 (1.635) 	
Epoch: [3][200/615] 	CurLR: 0.003 	Loss 0.063403 (0.073115)	BatchTime 1.573 (1.633) 	
Epoch: [3][210/615] 	CurLR: 0.003 	Loss 0.062971 (0.072672)	BatchTime 1.554 (1.634) 	
Epoch: [3][220/615] 	CurLR: 0.003 	Loss 0.068822 (0.072378)	BatchTime 1.548 (1.631) 	
Epoch: [3][230/615] 	CurLR: 0.003 	Loss 0.069575 (0.072297)	BatchTime 1.599 (1.631) 	
Epoch: [3][240/615] 	CurLR: 0.003 	Loss 0.069297 (0.072119)	BatchTime 1.569 (1.630) 	
Epoch: [3][250/615] 	CurLR: 0.003 	Loss 0.059114 (0.071686)	BatchTime 1.564 (1.630) 	
Epoch: [3][260/615] 	CurLR: 0.003 	Loss 0.060658 (0.071195)	BatchTime 1.629 (1.630) 	
Epoch: [3][270/615] 	CurLR: 0.003 	Loss 0.066652 (0.070931)	BatchTime 1.593 (1.629) 	
Epoch: [3][280/615] 	CurLR: 0.003 	Loss 0.065030 (0.070758)	BatchTime 1.576 (1.629) 	
Epoch: [3][290/615] 	CurLR: 0.003 	Loss 0.055773 (0.070424)	BatchTime 1.596 (1.627) 	
Epoch: [3][300/615] 	CurLR: 0.003 	Loss 0.061521 (0.070152)	BatchTime 1.611 (1.627) 	
Epoch: [3][310/615] 	CurLR: 0.003 	Loss 0.060089 (0.069862)	BatchTime 1.558 (1.627) 	
Epoch: [3][320/615] 	CurLR: 0.003 	Loss 0.062202 (0.069607)	BatchTime 1.625 (1.627) 	
Epoch: [3][330/615] 	CurLR: 0.003 	Loss 0.067981 (0.069482)	BatchTime 1.607 (1.627) 	
Epoch: [3][340/615] 	CurLR: 0.003 	Loss 0.058082 (0.069246)	BatchTime 1.622 (1.628) 	
Epoch: [3][350/615] 	CurLR: 0.003 	Loss 0.063291 (0.068966)	BatchTime 1.609 (1.628) 	
Epoch: [3][360/615] 	CurLR: 0.003 	Loss 0.064131 (0.068684)	BatchTime 1.584 (1.627) 	
Epoch: [3][370/615] 	CurLR: 0.003 	Loss 0.055056 (0.068463)	BatchTime 1.584 (1.627) 	
Epoch: [3][380/615] 	CurLR: 0.003 	Loss 0.056022 (0.068084)	BatchTime 1.558 (1.626) 	
Epoch: [3][390/615] 	CurLR: 0.003 	Loss 0.054491 (0.067814)	BatchTime 1.649 (1.626) 	
Epoch: [3][400/615] 	CurLR: 0.003 	Loss 0.060044 (0.067612)	BatchTime 1.615 (1.627) 	
Epoch: [3][410/615] 	CurLR: 0.003 	Loss 0.054821 (0.067334)	BatchTime 1.537 (1.626) 	
Epoch: [3][420/615] 	CurLR: 0.003 	Loss 0.059326 (0.067054)	BatchTime 1.636 (1.626) 	
Epoch: [3][430/615] 	CurLR: 0.003 	Loss 0.052974 (0.066808)	BatchTime 1.586 (1.626) 	
Epoch: [3][440/615] 	CurLR: 0.003 	Loss 0.054960 (0.066558)	BatchTime 1.579 (1.626) 	
Epoch: [3][450/615] 	CurLR: 0.003 	Loss 0.057306 (0.066277)	BatchTime 1.674 (1.626) 	
Epoch: [3][460/615] 	CurLR: 0.003 	Loss 0.054266 (0.066008)	BatchTime 1.591 (1.626) 	
Epoch: [3][470/615] 	CurLR: 0.003 	Loss 0.070231 (0.065951)	BatchTime 1.607 (1.625) 	
Epoch: [3][480/615] 	CurLR: 0.003 	Loss 0.055195 (0.065836)	BatchTime 1.568 (1.625) 	
Epoch: [3][490/615] 	CurLR: 0.003 	Loss 0.041537 (0.065425)	BatchTime 1.550 (1.625) 	
Epoch: [3][500/615] 	CurLR: 0.003 	Loss 0.045110 (0.065075)	BatchTime 1.634 (1.624) 	
Epoch: [3][510/615] 	CurLR: 0.003 	Loss 0.051067 (0.064772)	BatchTime 1.563 (1.624) 	
